title,danceability,acousticness,energy,speechiness,valence,mode
Diva (with Swae Lee & Tove Lo),0.694,0.0674,0.717,0.0467,0.306,0
Antisocial (with Travis Scott),0.715,0.133,0.823,0.0495,0.91,0
Pookie,0.912,0.0718,0.598,0.0881,0.532,0
Tchop,0.461,0.741,0.43,0.0453,0.738,0
All This Love (feat. Harlœ),0.469,0.0715,0.801,0.0834,0.425,1
Les planètes,0.669,0.335,0.674,0.0791,0.553,0
Les gens qu'on aime,0.817,0.434,0.539,0.0316,0.721,1
This Girl (Kungs Vs. Cookin' On 3 Burners),0.793,0.08,0.729,0.0394,0.488,0
Allez reste (feat. Vianney),0.788,0.088,0.679,0.141,0.536,1
Always Remember Us This Way,0.553,0.299,0.502,0.0409,0.296,1
I Follow Rivers - The Magician Remix,0.786,0.0234,0.696,0.0428,0.306,0
Rock It,0.801,0.013,0.9,0.147,0.834,1
Instagram,0.765,0.125,0.906,0.0965,0.95,0
So Am I,0.682,0.0737,0.656,0.0435,0.607,1
Tes parents (feat. Ninho),0.833,0.256,0.688,0.245,0.534,0
Bad Liar,0.383,0.0722,0.637,0.0703,0.0827,1
Pretend,0.68,0.284,0.883,0.103,0.834,0
Kitoko,0.835,0.422,0.635,0.103,0.644,0
Ça va aller,0.758,0.58,0.535,0.0582,0.755,0
Balance ton quoi,0.703,0.594,0.442,0.0823,0.381,1
Que Dieu me pardonne,0.711,0.266,0.836,0.201,0.869,0
You Little Beauty,0.926,0.00235,0.953,0.0911,0.927,0
What's Up?,0.566,0.156,0.57,0.0285,0.491,0
Old Town Road,0.909,0.0365,0.517,0.129,0.471,1
Hola Señorita,0.588,0.386,0.796,0.262,0.546,0
Con Calma,0.737,0.11,0.86,0.0593,0.656,0
Elle est bonne sa mère,0.787,0.329,0.741,0.0592,0.466,0
On Bai.,0.891,0.665,0.513,0.0823,0.621,0
Ritual,0.647,0.157,0.726,0.0552,0.767,0
Désaccord,0.549,0.72,0.549,0.118,0.574,0
We Were Young,0.612,0.285,0.588,0.146,0.38,1
Shallow,0.572,0.371,0.385,0.0308,0.323,1
Walk Me Home,0.652,0.0519,0.453,0.0445,0.432,1
Plus haut - Radio Edit,0.731,0.0526,0.531,0.0728,0.721,1
La vie qu'on mène,0.8,0.687,0.756,0.0367,0.456,0
Mômes,0.687,0.456,0.511,0.184,0.42,0
Come and Get Your Love - Single Version,0.731,0.172,0.804,0.0473,0.957,0
Giant (with Rag'n'Bone Man),0.807,0.016,0.887,0.0361,0.606,0
Baila Baila Baila,0.816,0.0361,0.754,0.111,0.533,0
Losing It,0.76,0.00181,0.964,0.0577,0.643,1
La rose et l'armure,0.358,0.778,0.362,0.0545,0.225,1
Panini,0.703,0.342,0.594,0.0752,0.475,0
Never Be Alone (feat. Aloe Blacc),0.535,0.0202,0.906,0.0353,0.732,0
Be Alright,0.553,0.697,0.586,0.0362,0.443,1
Laisser couler,0.725,0.212,0.86,0.0537,0.67,1
On The Low,0.816,0.692,0.781,0.0425,0.937,0
All Day And Night,0.585,0.269,0.782,0.0897,0.521,0
ME! (feat. Brendon Urie of Panic! At The Disco),0.614,0.0291,0.839,0.0702,0.657,1
Mon beau-frère,0.749,0.117,0.646,0.163,0.693,1
Mon Amour,0.691,0.0401,0.712,0.05,0.68,0
Tombé,0.648,0.56,0.537,0.0607,0.539,1
Grand petit con,0.694,0.179,0.668,0.0752,0.508,0
Can We Pretend (feat. Cash Cash),0.524,0.197,0.806,0.406,0.45,0
Allez leur dire,0.682,0.367,0.68,0.315,0.889,1
Castles,0.672,0.0046,0.752,0.0843,0.429,1
Ça c'est fait,0.748,0.425,0.739,0.0508,0.579,1
Rescue Me,0.759,0.156,0.605,0.0433,0.64,1
Power Over Me,0.42,0.0519,0.843,0.121,0.491,0
X,0.595,0.0364,0.773,0.0549,0.711,0
Maman ne le sait pas (feat. Niska),0.755,0.399,0.875,0.193,0.393,0
Always (feat. Philippine),0.591,0.145,0.404,0.0303,0.158,1
Toutes les machines ont un cœur,0.689,0.303,0.543,0.0291,0.327,1
Le coach (feat. Vincenzo),0.909,0.155,0.797,0.208,0.834,0
Goodbyes (Feat. Young Thug),0.58,0.447,0.653,0.0745,0.175,1
Summer Is a Curse,0.473,0.000727,0.757,0.0483,0.425,1
bad guy (with Justin Bieber),0.67,0.252,0.453,0.295,0.68,1
