Position,Track_Name,Artist,URL
1,"How Dare You",Derex,https://open.spotify.com/track/6FngZCqvzNE4lAiOfmLJck
2,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
4,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
7,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
9,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
10,"A Little Less Conversation (feat. The Great Escape)",Nebbra,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
11,"Pump It Up",Endor,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
12,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
14,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
15,"Tekkno from East",Sitte,https://open.spotify.com/track/2Ut2aIu0jalbdzemOjMV7a
16,"Als wenns gestern war",Slavik,https://open.spotify.com/track/5yWnIalBcSZn8vKwZd3VJa
17,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
18,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
19,"Turn Me On (feat. Vula)",Riton,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
20,Roller,"Apache 207",https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
21,COLT,Samra,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
22,"CASINO ROYAL",Kianush,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
23,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
24,A.M.,Lonr.,https://open.spotify.com/track/1GGxh8QYLRZaQ07d6AHA8E
25,"my time",Zubi,https://open.spotify.com/track/3SGpp4IqnTkoDYrKasLPfE
26,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
27,"My Oh My (feat. DaBaby)","Camila Cabello",https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
28,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
29,"Don't Start Now","Dua Lipa",https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
30,"Bad Guy (Remix)","Dani L. Mebius",https://open.spotify.com/track/6uGiIWcBzSYqO5ZGYk6lqE
31,"Big Drip","Fivio Foreign",https://open.spotify.com/track/4DkZDzcHicZBXCEdA19oWs
32,Light,Jerome,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
33,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
35,KARMA,Nimo,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t
36,"Adore You","Harry Styles",https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
37,"Ride It",Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
38,"If the World Was Ending - feat. Julia Michaels","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
39,"RITMO (Bad Boys For Life)","Black Eyed Peas",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
40,Loud,Dubio,https://open.spotify.com/track/362CZbgsmoebwBM77B3a0N
41,"Keine Liebe",RIN,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX
42,"Close Your Eyes","Felix Jaehn",https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
43,"everything i wanted","Billie Eilish",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
44,stupid,"Tate McRae",https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
45,"hot girl bummer",blackbear,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
46,"Himmel grau","Kontra K",https://open.spotify.com/track/1xdj09kwlmFmVONYaYyNsY
47,Videoüberwacht,Airon,https://open.spotify.com/track/06DUS5j3cxk6Y9pDbPZxBi
48,"1000x COOLER",TJ_beastboy,https://open.spotify.com/track/5ZtRzAXZG81zaFY2DRwAgk
49,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
50,Maniac,"Conan Gray",https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
1,"Hardstyle Girl (Harris & Ford Remix)","Hard But Crazy",https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
2,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
5,"Blueberry Fergo","Lil Monet",https://open.spotify.com/track/6CrMU5zXlKNGsipNhiu7hN
6,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,Psycho!,MASN,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
8,"Against The Rest","Twisted Harmonies",https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
9,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
11,"Die Gang ist mein Team",Klaas,https://open.spotify.com/track/3QqIm5mpKvYMn4fJpAkObd
12,"How Dare You",Derex,https://open.spotify.com/track/6FngZCqvzNE4lAiOfmLJck
13,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
14,"Ayy Macarena",Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
15,"KEIN SCHLAF",Nimo,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
16,"Shababs botten",Pashanim,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
17,Oblivion,Rufi-O,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
18,"CASINO ROYAL",Kianush,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
19,"Skifahren (feat. Joshi Mizu)","The Cratez",https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
20,"A Little Less Conversation (feat. The Great Escape)",Nebbra,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
21,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
22,A.M.,Lonr.,https://open.spotify.com/track/1GGxh8QYLRZaQ07d6AHA8E
23,Alien,RIN,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
24,Dosenbier,"Stefan Rauch",https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
