Position,Track_Name,Artist,URL
1,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,Solteroski,"Los Solteroski",https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3
4,"Fuera De Mi Mente",Lérica,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
5,"Alocao (With Bad Gyal)","Omar Montes",https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
6,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,"El Violador Eras Tu","El Perro",https://open.spotify.com/track/2F7cYJoV7pwncBNA8LI1iq
9,Blanco,"J Balvin",https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
10,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
11,"Perreo en La Luna","Rich Music LTD",https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
12,"RITMO (Bad Boys For Life)","Black Eyed Peas",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,"Se iluminaba","Fred De Palma",https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
14,Vete,"Bad Bunny",https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
15,"Easy - Remix","Jhay Cortez",https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
16,"Pikete Italiano",KvndySwing,https://open.spotify.com/track/7DeWChs7uIADAfwmdrUFPh
17,"Loco por Verte","Los Hitmen",https://open.spotify.com/track/7JUvz8eMJTJYJ1dHYUcK7y
18,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
19,"A Dónde Vamos",Morat,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
20,"Solito (Lonely) [feat. Nicky Jam & Akon]",Messiah,https://open.spotify.com/track/0yxU21ecIK43OvBh4apONo
21,"Hola - Remix",Dalex,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
22,Habibi,"La Cebolla",https://open.spotify.com/track/0GugHAcaTXnPmxmflZCb62
23,"Te Regalo","Carla Morrison",https://open.spotify.com/track/2Ye46ZY2LKOQTPXaauQisB
24,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,"Si Me Muero","JC Reyes",https://open.spotify.com/track/3YywcVZhQR80VnecOeu7tg
26,Campanilleros,"La Niña De La Puebla",https://open.spotify.com/track/2Iw4G6qnwSA5Rex0zTcRbN
27,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
28,"Bellaquita - Remix",Dalex,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
29,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
30,"Suave - Remix","Jey Blessing",https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
31,"El Burrito Sabanero - Tuki-Tuki Version","Marco Pastor Estelles",https://open.spotify.com/track/0OlwVgiXo2qkwAI84wmTLj
32,"Cada Una de Mis Canciones",Yer,https://open.spotify.com/track/4lCo6J8mQHf2EoDc3pOtzL
33,Rueda,Chimbala,https://open.spotify.com/track/71NGDQ9vSPXm55pyWeAxKK
34,"Si por mi fuera",Beret,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
35,Indeciso,Reik,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
36,"Whine Up","Nicky Jam",https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
37,"Adore You","Harry Styles",https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,"No Vuelvas Más",Darell,https://open.spotify.com/track/0mcBgVRVsvESTkEyVHt7Ue
39,Escopeta,Deikirisy,https://open.spotify.com/track/4QVGuSHz6gBTdPLWHBCAXf
