Position,Track_Name,Artist,URL
1,"Aykız - Remix","Ben Büdü",https://open.spotify.com/track/4J6VEVMY6w1Rri1R6wnK7w
2,"Seni Dert Etmeler",Madrigal,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
3,"Uzunlar - V1","Evdeki Saat",https://open.spotify.com/track/1L7W7G37sxUhikHIJCgEMh
4,Geçer,"Hemhal Ol'anlar",https://open.spotify.com/track/5o80DmdVU7uOzYyVhLk6pz
5,"ALEV ALEV",Zen-G,https://open.spotify.com/track/2uOLubhbj02hnelPTNRZvV
6,GOOBA,6ix9ine,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
7,"Ah Aman Aman",Kirli,https://open.spotify.com/track/7ecwexhAKoMoOoLfN8PHmX
8,"This Is America","Childish Gambino",https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
9,"Dünya Yıkılana Ömür Ayırana Dek",Meister,https://open.spotify.com/track/1EAfuc7LgTa5Mrm2ZgyCdV
10,"Pusu Kuracaklar","Sabri Örge",https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
11,"Bırakma Kendini","Kaan Boşnak",https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
12,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
13,"Луна не знает пути",Тайпан,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
14,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
15,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
16,"Sevdiğim Allah Belanı Versin","Emircan Çelik",https://open.spotify.com/track/1H9BhhxtKhzBlzIZ18nnV0
17,"Ты мой кайф","Dzharo & Khanza",https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
18,"Tom's Diner",AnnenMayKantereit,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
19,"Düş Yakamdan",UZI,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
20,"Seve Seve - Akustik","Tuğba Erdem",https://open.spotify.com/track/3ayF0MuDXMWSBaTI4JM1vu
21,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
22,"Yanar Yüreğim","Kürşat Gürel",https://open.spotify.com/track/67Zv3AMrJ0WkApqbpsXiJF
23,"Bu da Geçer - Akustik","Melek Büyükçınar",https://open.spotify.com/track/1OvpUTSqeLjR8pjjSAMgW2
24,Hokkabazlar,Heijan,https://open.spotify.com/track/0Y0VJ43gCiZJZmdaKslhpo
25,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
26,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
27,"Neyin Nesi","Dolu Kadehi Ters Tut",https://open.spotify.com/track/4BH1Z9kmxkq3U1mAYLtHPu
28,Tebessüm,"Fatih Peşmen",https://open.spotify.com/track/2qWKDo5C6cG2mROoG7G9l2
29,"Kan Sahibi",Contra,https://open.spotify.com/track/2n9zZIOcQR2ZZwLQQXivXV
30,"Yüce Aşk",Motive,https://open.spotify.com/track/4nmGipl4hRBing7os8hAVM
31,"Kilitli Kapılar Açılsa (feat. Hakan Tasiyan)","Melike Şahin",https://open.spotify.com/track/7j7fnkqRly8RB2GMHvs8vn
32,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
33,"Sıcak Şarap","Batuhan Kordel",https://open.spotify.com/track/2EbglAExnyDNFhjDa4tMAy
34,"Let Love Lead",Terrian,https://open.spotify.com/track/6ezWbOb22Pih3yFT0DTyUD
35,"Işıklarım Ol",Jako,https://open.spotify.com/track/59hdNYNbUk64EYg7yR2FCe
36,"Say It Loud - I'm Black And I'm Proud - Pt. 1","James Brown",https://open.spotify.com/track/5h8ve1B7Gr3k4W0WXAgLxE
37,HİÇ,"Erkan Güleryüz",https://open.spotify.com/track/1RdVKXdWuGVWz1V6KZaC6o
38,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
39,Yaralı,"Nahide Babashlı",https://open.spotify.com/track/3a8ThU8QVmrFSOCeNFUHYI
40,roxstar,"Bangers Only",https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
41,"Daha Mutlu Olamam","mor ve ötesi",https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
42,"Beyaz Ve Sen","Seda Mervas",https://open.spotify.com/track/3yeca8Wq7KYNOJBcjs9suf
43,"Yıkılmam Asla","Ayça Özefe",https://open.spotify.com/track/3t2nEhZ1dkAIvG4KyJd1LR
44,Yağmurlar,"Anıl Piyancı",https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
45,"Beni Kendinden Kurtar","Perdenin Ardındakiler",https://open.spotify.com/track/15XIirnxN07thDhFLuFbH6
46,Ölümüne,"Soner Sarıkabadayı",https://open.spotify.com/track/7jeAbZgQ2eD6N3mDB3F2Im
47,Bagısla,MEG,https://open.spotify.com/track/0ZoHq3iJAXudNAWeRPkwvl
48,Kelebekler,Madrigal,https://open.spotify.com/track/3O9G6FQrqhwQxR0GeeF93Q
49,"Uzunlar - V2","Evdeki Saat",https://open.spotify.com/track/5bnn2jadPSi4cAwq5H1clN
50,"Deep End",AREZRA,https://open.spotify.com/track/5F9Af8IkIrfayGZtxskdgn
1,"Aykız - Remix","Ben Büdü",https://open.spotify.com/track/4J6VEVMY6w1Rri1R6wnK7w
2,"ALEV ALEV",Zen-G,https://open.spotify.com/track/2uOLubhbj02hnelPTNRZvV
3,"Uzunlar - V1","Evdeki Saat",https://open.spotify.com/track/1L7W7G37sxUhikHIJCgEMh
4,"Seni Dert Etmeler",Madrigal,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
5,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
6,"Tom's Diner",AnnenMayKantereit,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
7,"Луна не знает пути",Тайпан,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
8,"Bırakma Kendini","Kaan Boşnak",https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
9,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
10,"Neyin Nesi","Dolu Kadehi Ters Tut",https://open.spotify.com/track/4BH1Z9kmxkq3U1mAYLtHPu
11,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
12,"Pusu Kuracaklar","Sabri Örge",https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
13,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
14,"Mert KIYAK - Gel","Mert Kıyak",https://open.spotify.com/track/7r36IPB6w0rPWMBDVJPshI
15,"Ты мой кайф","Dzharo & Khanza",https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
16,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
17,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
18,"Dünya Yıkılana Ömür Ayırana Dek",Meister,https://open.spotify.com/track/1EAfuc7LgTa5Mrm2ZgyCdV
19,"Kavanoz Dipli Dünya","Turgut Akyüz",https://open.spotify.com/track/7EhUVuaZ6F1EMYv9kWcmO6
20,"Bu da Geçer - Akustik","Melek Büyükçınar",https://open.spotify.com/track/1OvpUTSqeLjR8pjjSAMgW2
21,"Bu Gün Bayram","Barış Manço",https://open.spotify.com/track/4sNTDiLygCF0NAo3vDqhY2
22,"Düş Yakamdan",UZI,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
23,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
24,"Yeke Yeke","Mory Kanté",https://open.spotify.com/track/7yuF2FK7adgzGiIfEpR7Km
25,Contigo,"Danna Paola",https://open.spotify.com/track/3vSzpGke0ViKOGoX2wIKnZ
26,"Don't Mind","Jake Edwards",https://open.spotify.com/track/1hkXlMrfChzrTikE2SB1MK
27,"Boşu Boşuna",OzzyTheMusician,https://open.spotify.com/track/3MK60r2hFMwp5475ZGFQMB
28,"Queen's Speech 4","Lady Leshurr",https://open.spotify.com/track/2l4UVfs8CyBJWLqUmjekDw
29,Hokkabazlar,Heijan,https://open.spotify.com/track/0Y0VJ43gCiZJZmdaKslhpo
30,"Daha Mutlu Olamam","mor ve ötesi",https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
31,roxstar,"Bangers Only",https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
32,Yağmurlar,"Anıl Piyancı",https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
33,"Yanar Yüreğim","Kürşat Gürel",https://open.spotify.com/track/67Zv3AMrJ0WkApqbpsXiJF
34,"Kırık Camlar","Batuhan Polat",https://open.spotify.com/track/61YoBzFmKtoIftPJXxvrA3
35,Djadja,"Aya Nakamura",https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
36,"Uzunlar - V2","Evdeki Saat",https://open.spotify.com/track/5bnn2jadPSi4cAwq5H1clN
37,"Banana (feat. Shaggy)",Conkarah,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
38,"Yıkılmam Asla","Ayça Özefe",https://open.spotify.com/track/3t2nEhZ1dkAIvG4KyJd1LR
39,"Sar Bu Şehri (Akustik)",Canozan,https://open.spotify.com/track/4YiW28JXKVnk0wGTLUfUz8
40,KURAL,Bedo,https://open.spotify.com/track/5yMBkiumChjgruBX5HWNNo
41,"Beni Kendinden Kurtar","Perdenin Ardındakiler",https://open.spotify.com/track/15XIirnxN07thDhFLuFbH6
42,Sağanak,Aspova,https://open.spotify.com/track/5dxswPRA3fzRsFugp11ws3
43,Stronger,Shadowkey,https://open.spotify.com/track/7gict47updtVo2bhjFBzjO
44,"Sıcak Şarap","Batuhan Kordel",https://open.spotify.com/track/2EbglAExnyDNFhjDa4tMAy
45,"Bi Sonu Var Mı?","Burak King",https://open.spotify.com/track/1qTYF3U0Nfqr87eoCFdI2e
46,Kelebekler,Madrigal,https://open.spotify.com/track/3O9G6FQrqhwQxR0GeeF93Q
47,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
48,Elefante,NK,https://open.spotify.com/track/5s727A4OsVB8vG8eBo2D0s
49,"Deep End",AREZRA,https://open.spotify.com/track/5F9Af8IkIrfayGZtxskdgn
50,"Hayat Bayram Olsa",Şenay,https://open.spotify.com/track/43ltlBl1CSWtzrG2TzQhQp
1,"Tom's Diner",AnnenMayKantereit,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
2,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
3,Tesadüfen,"Hakan Kurtaş",https://open.spotify.com/track/5FLSzKDtwoYn1ztlR6fDw0
4,"THE SCOTTS","THE SCOTTS",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,"Bırakma Kendini","Kaan Boşnak",https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
6,"Seni Dert Etmeler",Madrigal,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
7,"Луна не знает пути",Тайпан,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
8,"Pusu Kuracaklar","Sabri Örge",https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
9,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
10,"I Like Him","Princess Nokia",https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
11,"Boşu Boşuna",OzzyTheMusician,https://open.spotify.com/track/3MK60r2hFMwp5475ZGFQMB
12,"Mert KIYAK - Gel","Mert Kıyak",https://open.spotify.com/track/7r36IPB6w0rPWMBDVJPshI
13,"Daha Mutlu Olamam","mor ve ötesi",https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
14,"Elbet Bir Gün Buluşacağız","Şebnem Hassanisoughi",https://open.spotify.com/track/2yTKfiXgBoHiAqpydLpXgM
15,KURAL,Bedo,https://open.spotify.com/track/5yMBkiumChjgruBX5HWNNo
16,roxstar,"Bangers Only",https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
17,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
18,"Düş Yakamdan",UZI,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
