Position,"Track Name",Artist,Streams,URL
1,Svag,"Victor Leksell",124174,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,86238,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Blinding Lights","The Weeknd",70105,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,FREDAG,"Staysman & Lazz",68435,https://open.spotify.com/track/7CrzOLGSbr4PFi9F9PNcJ4
5,"Sykepleierinnen (Sykehuset 2020)","El Papi",62887,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
6,"Dance Dance Dance","Astrid S",62679,https://open.spotify.com/track/3hMgyGBkNb9Ah1rDzlELIK
7,"Lose Somebody",Kygo,58496,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
8,"Hvis verden","Chris Holsten",53459,https://open.spotify.com/track/3quis1aFmQ0tlDbbq3RPOx
9,"Roses - Imanbek Remix","SAINt JHN",53394,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,"In Your Eyes","The Weeknd",47979,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
11,Somebody,Dagny,46270,https://open.spotify.com/track/5ZBKXaiKksaMq07XSnyOQ4
12,GOOBA,6ix9ine,46117,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
13,"Kings & Queens","Ava Max",44570,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
14,"Kaller På Deg",TIX,43772,https://open.spotify.com/track/0lnksmEu1sa7t16YwhIP10
15,Karantene,TIX,42426,https://open.spotify.com/track/6sMMfGxa9tB59dMEjEJ4nC
16,"Rain On Me (with Ariana Grande)","Lady Gaga",40307,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
17,"Watermelon Sugar","Harry Styles",40257,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
18,"Broken Glass",Kygo,38767,https://open.spotify.com/track/78ldtCaBRJVp2i91B715L0
19,"Dance Monkey","Tones And I",38341,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Breaking Me",Topic,38020,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,"ily (i love you baby) (feat. Emilee)","Surf Mesa",37080,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
22,"If the World Was Ending - feat. Julia Michaels","JP Saxe",36563,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
23,"Someone You Loved","Lewis Capaldi",36342,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"THE SCOTTS","THE SCOTTS",36183,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
25,"End of Time",K-391,35923,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf
26,SKÅL,TIX,34377,https://open.spotify.com/track/7qhNaWtYZoJz1bH0aOqssy
27,"Stuck with U (with Justin Bieber)","Ariana Grande",34124,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
28,Salt,"Ava Max",33871,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
29,"Play Date","Melanie Martinez",33850,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
30,"Toosie Slide",Drake,33794,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
31,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,33595,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,"Vi tar det igjen neste år",Kuselofte,33379,https://open.spotify.com/track/0xwR5vB4PYsfBgWhTSXpXV
33,"Bad Child","Tones And I",33160,https://open.spotify.com/track/1qCmZnC1FUpNgOydIzqIPC
