Position,"Track Name",Artist,Streams,URL
1,BUBBLETEA,Quebonafide,81633,https://open.spotify.com/track/7eBYMVok43QesT0KnuIkjn
2,"Hotel Maffija","SB Maffija",68556,https://open.spotify.com/track/4eacJqIi3XMbHWPoWdcSKe
3,"A nie pamiętasz jak?","SB Maffija",68431,https://open.spotify.com/track/0Lc2G3LWtjnzl4NbKAtBoo
4,"100 dni do matury",Mata,65930,https://open.spotify.com/track/78L2RUFISfqkmZMTCLYQJC
5,#Hot16Challenge2,Szpaku,62523,https://open.spotify.com/track/1p0GVV1UIllj5zJz2Z0Hzs
6,"Blinding Lights","The Weeknd",58129,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,Impreza,Sobel,54420,https://open.spotify.com/track/37OjKpGDZngkru4ToHVz4V
8,Melodia,sanah,53944,https://open.spotify.com/track/3xlk3SVStmEGEWx5FtqpkW
9,"Roses - Imanbek Remix","SAINt JHN",51828,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,Szampan,sanah,49468,https://open.spotify.com/track/0xwpK0H2aL5YxREvcNw4Pe
11,TOKYO2020,Quebonafide,49172,https://open.spotify.com/track/2yjSMIxii1fcnrf1R9tU4g
12,"Rain On Me (with Ariana Grande)","Lady Gaga",46978,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
13,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,44445,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,"Break My Heart","Dua Lipa",42189,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"Niedostępny (prod. by Olek) (feat. DMN)","Malik Montana",40272,https://open.spotify.com/track/2pIZ5W6m2fBqWwnTEGx5mK
16,"Watermelon Sugar","Harry Styles",40189,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,SZUBIENICAPESTYCYDYBROŃ,Quebonafide,39691,https://open.spotify.com/track/2ELxOAAcgZO6dqMPiDMjVV
18,"ily (i love you baby) (feat. Emilee)","Surf Mesa",38548,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
19,Physical,"Dua Lipa",38245,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
20,"Młody Boss",Żabson,38020,https://open.spotify.com/track/0C1LsduE10DnOsZNiJxqD9
