Position,"Track Name",Artist,Streams,URL
1,"Hasta Que Dios Diga","Anuel AA",397527,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
2,"La Jeepeta - Remix","Nio Garcia",393927,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
3,"TKN (feat. Travis Scott)",ROSALÍA,346694,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
4,PAM,"Justin Quiles",333680,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
5,"Nunca Estoy","C. Tangana",270118,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
6,"Mil Tequilas","Chema Rivas",262101,https://open.spotify.com/track/0qvfIq8RsH3sOZk9JIuUhn
7,Jangueo,"Anuel AA",246503,https://open.spotify.com/track/7KKh0ujp8agIiCrkiJhf81
8,"Sur y Norte","Nengo Flow",234233,https://open.spotify.com/track/2uy5wXDZQcdd89PvDBSfyy
9,"Sola & Vacía","Casper Magico",230367,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
10,"Hola, Nena (feat. Omar Montes)","Nyno Vargas",227699,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
11,"Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA",225487,https://open.spotify.com/track/2hDe0Ls5mVqs1XJqv7sbcM
12,PORFA,Feid,211395,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
13,Favorito,Camilo,206264,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
14,Safaera,"Bad Bunny",204087,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
15,Relación,Sech,202657,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
16,"PA' ROMPERLA","Bad Bunny",195306,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
17,Amarillo,"J Balvin",189681,https://open.spotify.com/track/6zEgnpM0qYmHLDnh8WPejL
18,Tusa,"KAROL G",180275,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,"CÓMO SE SIENTE - Remix","Jhay Cortez",177035,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
