position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
1,Cash Out,Bleak Purdy,0.906,0.43,0.16,0.501,1,0.14,99.958,122192,-8.219,0,https://open.spotify.com/track/6rhZJHZa7CzhlT4A4uuvxp
2,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,6,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
3,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,1,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
4,Times We Had,Barlito,0.849,0.7,0.259,0.704,0,0.46,142.996,229799,-6.138,7,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
5,GOOBA,6ix9ine,0.611,0.688,0.341,0.393,1,0.0264,178.462,132303,-5.688,1,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
6,Lovefool,twocolors,0.677,0.766,0.0568,0.198,1,0.0219,123.062,190488,-6.896,6,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
7,Ryypätään,Raff,0.723,0.741,0.156,0.506,0,0.161,91.948,215553,-7.923,8,https://open.spotify.com/track/1sMJAbLlSD8UgXJ5bpzd6u
8,Falcon,Bleak Purdy,0.738,0.597,0.281,0.705,1,0.295,159.775,133663,-10.002,10,https://open.spotify.com/track/4BYwULToH4I36lhfixT4Ec
9,August,Intelligency,0.835,0.559,0.0323,0.509,0,0.314,125.023,179520,-9.852,2,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
10,Coffin Dance,Music Falcon,0.728,0.479,0.0343,0.117,1,0.00986,124.075,135847,-10.786,4,https://open.spotify.com/track/50fboiidqkAhrE5dNueFKR
11,Address It,LPB Poody,0.903,0.611,0.268,0.329,0,0.109,94.525,146688,-8.006,10,https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
12,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,0,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
13,一翦梅,Fei Yu-ching,0.29,0.482,0.035,0.247,0,0.145,141.459,234867,-8.207,6,https://open.spotify.com/track/5Vnx5i9VJSZ6ayfK6jncf8
14,ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.164,0.497,1,0.247,89.977,181733,-7.956,11,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,Fishy on Me,Dr. Sus,0.908,0.342,0.196,0.505,1,0.651,99.959,132885,-7.651,1,https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
16,50//50,Vantage,0.837,0.698,0.0511,0.397,1,0.0608,124.136,246167,-7.215,7,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm
17,Penelope (feat. Clever),william,0.794,0.668,0.0366,0.789,1,0.0434,129.948,183702,-6.24,9,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3
18,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,5,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
19,Niggers vs. The Police - Remastered Version,Richard Pryor,0.545,0.667,0.957,0.42,1,0.83,77.909,101627,-12.837,4,https://open.spotify.com/track/0c7566F2Aloxllc5ymgwWG
20,Summer Nights,LILBRO,0.81,0.479,0.0749,0.295,1,0.176,102.993,211268,-9.877,7,https://open.spotify.com/track/4gZksu67OsYmuHYGGMgPkC
21,Superstar,David Puentez,0.727,0.725,0.203,0.468,1,0.0624,119.965,165000,-6.198,0,https://open.spotify.com/track/5gFCFZnV0QTt1YfjY7dJBY
22,Aina är en gris,BENIM,0.783,0.752,0.287,0.595,1,0.0941,80.005,146567,-5.055,9,https://open.spotify.com/track/3dFOGFGm85waIgaAbaapzL
23,Banana (feat. Shaggy),Conkarah,0.856,0.834,0.245,0.824,1,0.0582,95.056,184421,-4.012,8,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
24,Vanki,Ikirouta,0.452,0.939,0.048,0.52,1,0.00337,75.03,223072,-4.232,9,https://open.spotify.com/track/4tn2N530PmKWZxW3qJvMMV
25,Haituvat,Jukka Poika,0.698,0.433,0.181,0.806,1,0.76,165.943,188221,-8.734,2,https://open.spotify.com/track/4bbIpxCsYUtHqCMlGIgbGR
26,Зын Зын,Zhonti,0.946,0.714,0.334,0.39,0,0.157,119.858,177245,-8.204,4,https://open.spotify.com/track/1SL9uxpEbVvCeEFCmdLkhQ
27,Stereotypes,Black Violin,0.338,0.58,0.0573,0.262,0,0.506,157.801,209667,-8.703,2,https://open.spotify.com/track/0Rn7Zvj1OIN9DsfxtCdYPh
28,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,4,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
