position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
1,How Dare You,Derex,0.329,0.723,0.0795,0.188,0,0.0155,150.895,215380,-6.025,7,https://open.spotify.com/track/6FngZCqvzNE4lAiOfmLJck
2,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
4,Falling,Trevor Daniel,0.784,0.43,0.0364,0.236,0,0.123,127.087,159382,-8.756,10,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,Roses - Imanbek Remix,SAINt JHN,0.77,0.724,0.0495,0.898,1,0.0167,121.975,176840,-5.484,8,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,Psycho!,MASN,0.868,0.365,0.0383,0.471,1,0.433,114.979,197217,-9.51,7,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
7,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,KEIN SCHLAF,Nimo,0.606,0.715,0.173,0.393,1,0.294,174.049,200493,-5.608,11,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
9,Ayy Macarena,Tyga,0.816,0.63,0.226,0.715,1,0.133,96.493,131607,-5.568,2,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
10,A Little Less Conversation (feat. The Great Escape),Nebbra,0.44,0.71,0.131,0.837,0,0.567,93.147,171474,-6.093,5,https://open.spotify.com/track/0OsylRd3BPdrqKcy06am1w
11,Pump It Up,Endor,0.899,0.894,0.222,0.654,1,0.203,129.045,150635,-7.255,1,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
12,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Shababs botten,Pashanim,0.88,0.399,0.464,0.387,0,0.102,46.66,96031,-8.849,6,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
14,Dosenbier,Stefan Rauch,0.674,0.935,0.0661,0.503,1,0.0326,134.069,183022,-4.885,0,https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
15,Tekkno from East,Sitte,0.677,0.728,0.0693,0.63,1,0.0496,165.019,446563,-5.545,11,https://open.spotify.com/track/2Ut2aIu0jalbdzemOjMV7a
16,Als wenns gestern war,Slavik,0.529,0.674,0.413,0.476,0,0.175,85.664,142225,-8.308,8,https://open.spotify.com/track/5yWnIalBcSZn8vKwZd3VJa
17,Skifahren (feat. Joshi Mizu),The Cratez,0.719,0.705,0.252,0.435,0,0.223,133.927,162651,-6.891,5,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
18,BOYFREN,LoveLeo,0.842,0.368,0.0668,0.713,1,0.251,79.96,136956,-7.324,1,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
19,Turn Me On (feat. Vula),Riton,0.737,0.828,0.0396,0.517,1,0.0149,124.052,208474,-4.711,11,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
20,Roller,Apache 207,0.941,0.758,0.17,0.683,0,0.0256,128.017,157093,-6.47,10,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
21,COLT,Samra,0.544,0.53,0.428,0.184,0,0.345,90.093,179813,-6.168,9,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
22,CASINO ROYAL,Kianush,0.754,0.68,0.224,0.499,0,0.345,118.008,171356,-6.331,0,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
23,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
24,A.M.,Lonr.,0.74,0.761,0.0851,0.453,0,0.0691,146.144,164935,-4.753,0,https://open.spotify.com/track/1GGxh8QYLRZaQ07d6AHA8E
25,my time,Zubi,0.645,0.424,0.0381,0.261,0,0.455,134.967,214222,-10.676,4,https://open.spotify.com/track/3SGpp4IqnTkoDYrKasLPfE
26,Alien,RIN,0.835,0.601,0.0562,0.853,1,0.298,137.998,208947,-6.411,6,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
27,My Oh My (feat. DaBaby),Camila Cabello,0.724,0.491,0.0296,0.383,1,0.018,105.046,170746,-6.024,8,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
28,Suicidal,YNW Melly,0.735,0.369,0.0688,0.235,0,0.334,140.004,222997,-9.682,9,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
29,Don't Start Now,Dua Lipa,0.794,0.793,0.0842,0.677,0,0.0125,123.941,183290,-4.521,11,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
30,Bad Guy (Remix),Dani L. Mebius,0.79,0.857,0.0491,0.747,1,0.000179,125.011,215040,-7.556,2,https://open.spotify.com/track/6uGiIWcBzSYqO5ZGYk6lqE
31,Big Drip,Fivio Foreign,0.814,0.661,0.356,0.474,1,0.186,139.956,168307,-6.453,0,https://open.spotify.com/track/4DkZDzcHicZBXCEdA19oWs
32,Light,Jerome,0.36,0.89,0.0383,0.0897,1,0.0171,106.554,185916,-5.645,8,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH
33,Dance Monkey,Tones And I,0.825,0.593,0.0988,0.54,0,0.688,98.078,209755,-6.401,6,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
