position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
1,Tusa,KAROL G,0.803,0.715,0.298,0.574,1,0.295,101.085,200960,-3.28,2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,Falling,Trevor Daniel,0.784,0.43,0.0364,0.236,0,0.123,127.087,159382,-8.756,10,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
3,Solteroski,Los Solteroski,0.954,0.542,0.297,0.686,1,0.278,125.046,200058,-8.193,7,https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3
4,Fuera De Mi Mente,Lérica,0.741,0.94,0.101,0.702,1,0.169,93.994,181433,-2.068,1,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
5,Alocao (With Bad Gyal),Omar Montes,0.673,0.752,0.0567,0.699,0,0.214,178.005,209320,-4.705,11,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
6,Dance Monkey,Tones And I,0.825,0.593,0.0988,0.54,0,0.688,98.078,209755,-6.401,6,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
8,El Violador Eras Tu,El Perro,0.79,0.869,0.0723,0.991,0,0.15,60.009,217052,-6.005,6,https://open.spotify.com/track/2F7cYJoV7pwncBNA8LI1iq
9,Blanco,J Balvin,0.87,0.706,0.126,0.593,0,0.0253,100.013,145800,-5.395,9,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
10,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
11,Perreo en La Luna,Rich Music LTD,0.711,0.757,0.29,0.724,0,0.268,174.013,218587,-4.188,1,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
12,RITMO (Bad Boys For Life),Black Eyed Peas,0.721,0.716,0.0657,0.667,0,0.0334,104.994,221714,-7.037,10,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,Se iluminaba,Fred De Palma,0.791,0.693,0.0639,0.624,0,0.0811,123.923,174291,-4.98,0,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
14,Vete,Bad Bunny,0.886,0.672,0.188,0.526,1,0.0363,91.976,192024,-4.394,1,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
15,Easy - Remix,Jhay Cortez,0.886,0.752,0.0949,0.435,0,0.191,94.066,220147,-3.819,1,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
16,Pikete Italiano,KvndySwing,0.835,0.473,0.216,0.263,1,0.327,95.002,188182,-6.672,8,https://open.spotify.com/track/7DeWChs7uIADAfwmdrUFPh
17,Loco por Verte,Los Hitmen,0.771,0.521,0.199,0.437,0,0.119,159.904,256920,-5.609,6,https://open.spotify.com/track/7JUvz8eMJTJYJ1dHYUcK7y
18,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
19,A Dónde Vamos,Morat,0.627,0.608,0.0364,0.955,1,0.00677,149.029,203102,-12.914,0,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
20,Solito (Lonely) [feat. Nicky Jam & Akon],Messiah,0.732,0.871,0.0418,0.564,1,0.192,98.019,230127,-1.406,10,https://open.spotify.com/track/0yxU21ecIK43OvBh4apONo
21,Hola - Remix,Dalex,0.654,0.672,0.311,0.343,0,0.471,181.857,249520,-5.98,0,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
22,Habibi,La Cebolla,0.685,0.69,0.188,0.854,0,0.594,180.094,195618,-5.389,1,https://open.spotify.com/track/0GugHAcaTXnPmxmflZCb62
23,Te Regalo,Carla Morrison,0.59,0.115,0.0385,0.33,1,0.968,121.692,242447,-10.034,2,https://open.spotify.com/track/2Ye46ZY2LKOQTPXaauQisB
24,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,Si Me Muero,JC Reyes,0.8,0.683,0.185,0.865,1,0.684,114.922,202446,-7.122,6,https://open.spotify.com/track/3YywcVZhQR80VnecOeu7tg
26,Campanilleros,La Niña De La Puebla,0.419,0.174,0.0358,0.539,0,0.993,86.053,209560,-14.056,0,https://open.spotify.com/track/2Iw4G6qnwSA5Rex0zTcRbN
27,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
28,Bellaquita - Remix,Dalex,0.795,0.715,0.0838,0.758,1,0.141,165.941,304733,-3.582,1,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
29,BOYFREN,LoveLeo,0.842,0.368,0.0668,0.713,1,0.251,79.96,136956,-7.324,1,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
30,Suave - Remix,Jey Blessing,0.673,0.694,0.166,0.78,1,0.557,175.912,203000,-4.01,10,https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
31,El Burrito Sabanero - Tuki-Tuki Version,Marco Pastor Estelles,0.895,0.684,0.0351,0.949,1,0.791,105.029,216221,-6.343,7,https://open.spotify.com/track/0OlwVgiXo2qkwAI84wmTLj
32,Cada Una de Mis Canciones,Yer,0.466,0.684,0.16,0.512,1,0.821,69.18,193154,-8.216,1,https://open.spotify.com/track/4lCo6J8mQHf2EoDc3pOtzL
33,Rueda,Chimbala,0.888,0.916,0.0922,0.96,1,0.165,130.04,210528,-2.196,9,https://open.spotify.com/track/71NGDQ9vSPXm55pyWeAxKK
34,Si por mi fuera,Beret,0.701,0.75,0.0316,0.876,1,0.0271,150.078,208824,-5.717,2,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
35,Indeciso,Reik,0.738,0.748,0.0453,0.896,1,0.182,94.949,217253,-4.902,0,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
36,Whine Up,Nicky Jam,0.817,0.665,0.0758,0.662,0,0.0549,104.957,215460,-6.224,9,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
37,Adore You,Harry Styles,0.676,0.771,0.0483,0.569,1,0.0237,99.048,207133,-3.675,8,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,No Vuelvas Más,Darell,0.866,0.602,0.0844,0.836,1,0.434,95.016,239093,-5.236,11,https://open.spotify.com/track/0mcBgVRVsvESTkEyVHt7Ue
39,Escopeta,Deikirisy,0.856,0.776,0.262,0.697,1,0.118,98.28,191020,-3.422,7,https://open.spotify.com/track/4QVGuSHz6gBTdPLWHBCAXf
40,Aventura,Lunay,0.729,0.726,0.0422,0.876,1,0.223,92.025,217130,-3.208,5,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
41,Mi padre es un elfo (Anuncio El Corte Inglés- 2018),Toni M. Mir,0.591,0.503,0.0375,0.586,1,0.43,120.197,64000,-7.528,0,https://open.spotify.com/track/7IOfWlLpH93IBmtGecwgH1
42,Leña para el Carbón,J.Mastermix,0.614,0.778,0.133,0.859,0,0.0727,204.033,129175,-5.036,8,https://open.spotify.com/track/58Yyhhx7SWGNacGk1m4WUy
43,Ella No Quiere Rosé,Rvfv,0.861,0.599,0.142,0.469,1,0.162,95.99,182500,-6.162,1,https://open.spotify.com/track/6Aqeqb9rVNA1U6zuuxczQZ
44,Mi Error - Remix,Eladio Carrion,0.663,0.841,0.104,0.432,1,0.0985,174.021,315862,-3.42,7,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4
45,Madroños al Niño,El Sorderas,0.621,0.794,0.186,0.85,1,0.0962,119.478,231393,-6.001,4,https://open.spotify.com/track/2BlefITU8R9a52hVMRUtxI
46,Picaflor,Lao Ra,0.802,0.646,0.0613,0.519,0,0.212,98.01,177662,-4.772,4,https://open.spotify.com/track/3r5OlIxUKkh2ydNeYYh6tD
47,Ya No Te Hago Falta,Sen Senra,0.56,0.311,0.038,0.452,1,0.934,180.05,161600,-8.508,9,https://open.spotify.com/track/4RIi1gNmKDzSH04Vvws2DK
48,Tabú,Pablo Alborán,0.748,0.808,0.0619,0.553,0,0.0366,99.997,179775,-5.943,9,https://open.spotify.com/track/471HeGJPKw07MObixON0Um
49,Ahora,Oscu,0.832,0.748,0.0412,0.786,1,0.0604,113.967,171053,-7.333,7,https://open.spotify.com/track/5uHzp7pDABZ7fmAWgrJdbF
50,Fantasias,Rauw Alejandro,0.879,0.703,0.0701,0.788,1,0.143,94.004,199711,-4.219,1,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
1,Me Da Asco Tu Familia,Nadie Sabe Nada,0.505,0.885,0.0968,0.785,1,0.00236,168.036,86299,-8.822,9,https://open.spotify.com/track/4iN8XAk63IUwMPBYKiE0kD
