position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,URL
1,Aykız - Remix,Ben Büdü,0.704,0.468,0.16,0.381,1,0.122,160.033,264040,-9.656,https://open.spotify.com/track/4J6VEVMY6w1Rri1R6wnK7w
2,Seni Dert Etmeler,Madrigal,0.552,0.608,0.0274,0.835,0,0.148,88.002,188500,-11.211,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
3,Uzunlar - V1,Evdeki Saat,0.561,0.592,0.0437,0.965,0,0.18,169.975,282353,-10.41,https://open.spotify.com/track/1L7W7G37sxUhikHIJCgEMh
4,Geçer,Hemhal Ol'anlar,0.47,0.334,0.0289,0.203,1,0.845,93.684,307017,-6.707,https://open.spotify.com/track/5o80DmdVU7uOzYyVhLk6pz
5,ALEV ALEV,Zen-G,0.767,0.87,0.0548,0.804,1,0.169,121.978,174912,-5.001,https://open.spotify.com/track/2uOLubhbj02hnelPTNRZvV
6,GOOBA,6ix9ine,0.611,0.688,0.341,0.393,1,0.0264,178.462,132303,-5.688,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
7,Ah Aman Aman,Kirli,0.516,0.728,0.0385,0.478,0,0.187,179.923,225386,-8.288,https://open.spotify.com/track/7ecwexhAKoMoOoLfN8PHmX
8,This Is America,Childish Gambino,0.854,0.463,0.137,0.549,1,0.117,120.024,225773,-6.159,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
9,Dünya Yıkılana Ömür Ayırana Dek,Meister,0.731,0.561,0.278,0.53,0,0.337,80.037,104046,-6.051,https://open.spotify.com/track/1EAfuc7LgTa5Mrm2ZgyCdV
10,Pusu Kuracaklar,Sabri Örge,0.705,0.842,0.115,0.663,1,0.115,113.144,248386,-6.831,https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
11,Bırakma Kendini,Kaan Boşnak,0.652,0.574,0.0261,0.577,0,0.411,103.996,240626,-11.093,https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
12,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
13,Луна не знает пути,Тайпан,0.747,0.484,0.252,0.467,0,0.418,171.97,131163,-7.938,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
14,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
15,I Like Him,Princess Nokia,0.893,0.579,0.113,0.611,1,0.0641,133.018,132453,-8.995,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
16,Sevdiğim Allah Belanı Versin,Emircan Çelik,0.455,0.758,0.0764,0.0857,0,0.698,91.994,240089,-11.063,https://open.spotify.com/track/1H9BhhxtKhzBlzIZ18nnV0
17,Ты мой кайф,Dzharo & Khanza,0.935,0.832,0.214,0.641,0,0.661,109.086,136514,-1.947,https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
18,Tom's Diner,AnnenMayKantereit,0.68,0.428,0.135,0.334,0,0.376,98.222,269333,-8.107,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
19,Düş Yakamdan,UZI,0.763,0.727,0.0726,0.613,1,0.554,139.946,199000,-7.626,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
20,Seve Seve - Akustik,Tuğba Erdem,0.495,0.786,0.0934,0.401,1,0.439,159.742,233500,-4.038,https://open.spotify.com/track/3ayF0MuDXMWSBaTI4JM1vu
21,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
22,Yanar Yüreğim,Kürşat Gürel,0.628,0.499,0.0794,0.528,0,0.318,170.05,231751,-9.929,https://open.spotify.com/track/67Zv3AMrJ0WkApqbpsXiJF
23,Bu da Geçer - Akustik,Melek Büyükçınar,0.466,0.22,0.0304,0.433,0,0.842,93.228,153494,-8.227,https://open.spotify.com/track/1OvpUTSqeLjR8pjjSAMgW2
24,Hokkabazlar,Heijan,0.77,0.49,0.343,0.433,0,0.348,155.953,178462,-9.844,https://open.spotify.com/track/0Y0VJ43gCiZJZmdaKslhpo
25,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
26,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
