danceability,energy,speechiness,valence,mode,acousticness
0.794,0.668,0.0366,0.789,1,0.0434
0.773,0.644,0.0335,0.801,0,0.151
0.758,0.792,0.0405,0.866,0,0.117
0.767,0.798,0.124,0.611,0,0.114
0.514,0.73,0.0598,0.334,1,0.00146
0.746,0.69,0.164,0.497,1,0.247
0.611,0.688,0.341,0.393,1,0.0264
0.453,0.622,0.0449,0.268,1,0.193
0.756,0.521,0.13,0.548,1,0.269
0.672,0.855,0.0397,0.646,1,0.021
0.735,0.676,0.0826,0.331,1,0.702
0.643,0.913,0.0371,0.692,0,0.0095
0.645,0.47,0.0282,0.405,0,0.318
0.789,0.72,0.218,0.664,0,0.223
0.77,0.724,0.0495,0.898,1,0.0167
0.638,0.688,0.0407,0.434,0,0.00775
0.487,0.669,0.0692,0.347,0,0.0349
0.894,0.635,0.0473,0.428,1,0.193
0.716,0.537,0.0514,0.28,0,0.233
0.68,0.411,0.0282,0.251,0,0.43
0.678,0.905,0.145,0.807,0,0.0603
0.701,0.661,0.0911,0.171,1,0.216
0.695,0.558,0.0808,0.68,0,0.565
0.707,0.955,0.222,0.575,0,0.127
0.73,0.729,0.0886,0.467,0,0.167
0.656,0.89,0.187,0.268,0,0.201
0.728,0.431,0.0622,0.629,0,0.749
0.674,0.774,0.0892,0.33,0,0.0686
0.774,0.554,0.0383,0.349,1,0.207
0.668,0.767,0.0262,0.705,0,0.0602
0.706,0.943,0.05,0.886,0,0.379
0.83,0.49,0.209,0.845,0,0.289
0.692,0.571,0.077,0.437,0,0.0492
0.68,0.729,0.0475,0.446,1,0.612
0.863,0.631,0.0534,0.817,1,0.305
0.58,0.586,0.0357,0.507,1,0.344
0.548,0.816,0.0465,0.557,1,0.122
0.704,0.736,0.0364,0.57,0,0.0767
0.825,0.593,0.0988,0.54,0,0.688
0.715,0.764,0.0558,0.26,0,0.217
0.693,0.835,0.0623,0.743,1,0.131
0.726,0.431,0.135,0.348,0,0.731
0.923,0.604,0.245,0.826,0,0.017
0.667,0.719,0.0346,0.717,0,0.00285
0.63,0.633,0.0457,0.452,1,0.00776
