danceability,energy,speechiness,valence,mode,acousticness
0.628,0.525,0.0672,0.446,1,0.749
0.746,0.69,0.164,0.497,1,0.247
0.514,0.73,0.0598,0.334,1,0.00146
0.676,0.738,0.0415,0.654,1,0.458
0.672,0.534,0.0354,0.498,1,0.561
0.604,0.517,0.378,0.515,1,0.404
0.58,0.586,0.0357,0.507,1,0.344
0.547,0.24,0.0869,0.24,1,0.858
0.77,0.724,0.0495,0.898,1,0.0167
0.667,0.719,0.0346,0.717,0,0.00285
0.724,0.765,0.0381,0.441,1,0.00191
0.611,0.688,0.341,0.393,1,0.0264
0.638,0.688,0.0407,0.434,0,0.00775
0.576,0.913,0.083,0.62,1,0.061
0.628,0.754,0.0348,0.647,1,0.243
0.672,0.855,0.0397,0.646,1,0.021
0.548,0.816,0.0465,0.557,1,0.122
0.526,0.633,0.134,0.272,1,0.372
0.825,0.593,0.0988,0.54,0,0.688
0.789,0.72,0.218,0.664,0,0.223
0.674,0.774,0.0892,0.33,0,0.0686
0.464,0.473,0.129,0.604,1,0.866
0.501,0.405,0.0319,0.446,1,0.751
0.716,0.537,0.0514,0.28,0,0.233
0.81,0.7,0.0399,0.193,0,0.267
0.531,0.882,0.135,0.462,1,0.0272
0.597,0.45,0.0418,0.537,1,0.223
0.693,0.835,0.0623,0.743,1,0.131
0.68,0.729,0.0475,0.446,1,0.612
0.83,0.49,0.209,0.845,0,0.289
0.726,0.431,0.135,0.348,0,0.731
0.709,0.634,0.0501,0.563,1,0.235
0.756,0.554,0.0342,0.596,0,0.402
0.499,0.898,0.124,0.618,0,0.124
0.624,0.552,0.181,0.476,1,0.393
0.73,0.729,0.0886,0.467,0,0.167
0.459,0.575,0.0573,0.183,1,0.604
0.394,0.552,0.0398,0.224,1,0.00895
0.774,0.554,0.0383,0.349,1,0.207
0.863,0.631,0.0534,0.817,1,0.305
0.789,0.727,0.126,0.343,1,0.123
0.794,0.793,0.0842,0.677,0,0.0125
0.728,0.431,0.0622,0.629,0,0.749
0.766,0.548,0.0373,0.552,1,0.0263
0.661,0.648,0.0365,0.66,1,0.0889
0.57,0.672,0.0723,0.448,0,0.177
0.923,0.604,0.245,0.826,0,0.017
0.415,0.105,0.0368,0.323,1,0.892
0.667,0.876,0.317,0.386,1,0.0872
0.841,0.572,0.0889,0.672,0,0.0375
0.736,0.308,0.0677,0.361,1,0.946
0.884,0.658,0.195,0.6,0,0.0488
0.63,0.633,0.0457,0.452,1,0.00776
0.572,0.385,0.0308,0.323,1,0.371
0.59,0.677,0.0577,0.304,1,0.00882
0.841,0.728,0.0484,0.43,1,0.0847
0.704,0.225,0.0994,0.243,0,0.902
0.501,0.167,0.0484,0.356,1,0.885
0.708,0.186,0.042,0.322,0,0.868
