danceability,energy,speechiness,valence,mode,acousticness
0.664,0.739,0.207,0.438,0,0.541
0.837,0.608,0.237,0.634,1,0.35
0.852,0.537,0.394,0.703,0,0.279
0.687,0.828,0.456,0.0999,0,0.523
0.76,0.656,0.0431,0.558,0,0.398
0.514,0.73,0.0598,0.334,1,0.00146
0.92,0.363,0.0933,0.558,1,0.028
0.484,0.513,0.0416,0.383,0,0.611
0.77,0.724,0.0495,0.898,1,0.0167
0.684,0.676,0.0268,0.674,0,0.0159
0.921,0.518,0.232,0.606,0,0.0486
0.672,0.855,0.0397,0.646,1,0.021
0.726,0.431,0.135,0.348,0,0.731
0.73,0.729,0.0886,0.467,0,0.167
0.759,0.658,0.127,0.398,0,0.388
0.548,0.816,0.0465,0.557,1,0.122
0.701,0.687,0.184,0.703,0,0.396
0.674,0.774,0.0892,0.33,0,0.0686
0.647,0.844,0.0457,0.746,1,0.0137
0.893,0.66,0.0548,0.67,1,0.384
0.778,0.629,0.0754,0.71,1,0.00994
0.638,0.688,0.0407,0.434,0,0.00775
0.838,0.594,0.345,0.324,0,0.242
0.794,0.504,0.428,0.625,0,0.18
0.611,0.688,0.341,0.393,1,0.0264
0.756,0.604,0.235,0.215,0,0.354
0.789,0.72,0.218,0.664,0,0.223
0.83,0.49,0.209,0.845,0,0.289
0.825,0.593,0.0988,0.54,0,0.688
0.577,0.535,0.389,0.0867,1,0.0597
0.802,0.652,0.356,0.452,1,0.18
0.764,0.8,0.0471,0.775,1,0.322
0.667,0.719,0.0346,0.717,0,0.00285
0.693,0.835,0.0623,0.743,1,0.131
0.746,0.69,0.164,0.497,1,0.247
0.822,0.7,0.186,0.508,1,0.116
0.794,0.793,0.0842,0.677,0,0.0125
0.863,0.631,0.0534,0.817,1,0.305
0.746,0.761,0.186,0.224,0,0.0401
0.782,0.568,0.0772,0.454,1,0.0711
0.571,0.667,0.0508,0.439,0,0.0389
0.58,0.721,0.161,0.155,1,0.0937
0.716,0.537,0.0514,0.28,0,0.233
0.793,0.496,0.198,0.269,1,0.743
0.841,0.611,0.0973,0.566,1,0.136
0.682,0.675,0.0486,0.617,1,0.251
0.657,0.739,0.316,0.406,0,0.107
0.787,0.673,0.158,0.786,0,0.256
0.72,0.722,0.174,0.686,0,0.762
0.426,0.4,0.0908,0.221,0,0.706
0.724,0.576,0.204,0.473,0,0.755
0.744,0.725,0.0303,0.902,1,0.0179
0.582,0.745,0.224,0.233,1,0.0873
0.86,0.678,0.163,0.513,0,0.075
0.802,0.412,0.157,0.709,0,0.533
0.703,0.717,0.336,0.364,1,0.474
0.713,0.769,0.0478,0.876,0,0.624
0.597,0.45,0.0418,0.537,1,0.223
0.68,0.729,0.0475,0.446,1,0.612
0.752,0.87,0.0623,0.784,0,0.0604
0.822,0.727,0.184,0.822,0,0.29
0.874,0.838,0.344,0.644,1,0.194
0.707,0.955,0.222,0.575,0,0.127
0.592,0.313,0.0794,0.254,1,0.739
0.7,0.381,0.116,0.468,1,0.513
0.664,0.664,0.254,0.386,0,0.243
0.818,0.823,0.2,0.52,0,0.0663
0.748,0.441,0.164,0.418,1,0.594
0.79,0.774,0.245,0.297,0,0.243
0.772,0.672,0.178,0.655,0,0.288
