danceability,energy,speechiness,valence,mode,acousticness
0.691,0.765,0.111,0.855,1,0.464
0.815,0.715,0.207,0.786,0,0.3
0.776,0.509,0.467,0.485,0,0.192
0.889,0.863,0.0757,0.776,1,0.289
0.917,0.377,0.161,0.398,1,0.474
0.698,0.772,0.133,0.284,1,0.224
0.863,0.728,0.0586,0.649,1,0.396
0.741,0.548,0.153,0.285,0,0.304
0.712,0.851,0.149,0.542,1,0.207
0.749,0.772,0.243,0.718,0,0.469
0.735,0.916,0.117,0.691,1,0.397
0.795,0.542,0.193,0.55,0,0.0903
0.606,0.853,0.0545,0.822,1,0.237
0.607,0.829,0.379,0.685,1,0.0103
0.805,0.562,0.105,0.767,0,0.125
0.772,0.83,0.0599,0.697,1,0.016
0.641,0.857,0.301,0.961,0,0.013
0.803,0.715,0.298,0.574,1,0.295
0.807,0.606,0.088,0.304,0,0.0946
0.865,0.658,0.08,0.713,0,0.216
0.843,0.845,0.0503,0.898,1,0.35
0.813,0.544,0.0577,0.707,1,0.0766
0.694,0.796,0.0565,0.515,1,0.48
0.791,0.693,0.0639,0.624,0,0.0811
0.663,0.598,0.17,0.4,1,0.193
0.824,0.631,0.0809,0.678,1,0.237
0.59,0.729,0.0893,0.712,0,0.321
0.614,0.746,0.196,0.601,0,0.347
0.849,0.781,0.159,0.893,0,0.406
0.86,0.758,0.0695,0.453,1,0.021
0.802,0.579,0.0869,0.234,0,0.335
0.82,0.565,0.17,0.773,1,0.158
0.864,0.81,0.0442,0.962,1,0.25
0.755,0.617,0.182,0.745,1,0.0217
0.514,0.73,0.0598,0.334,1,0.00146
0.865,0.5,0.0861,0.317,1,0.0122
0.801,0.745,0.063,0.245,0,0.398
0.77,0.724,0.0495,0.898,1,0.0167
0.786,0.808,0.0881,0.608,1,0.0846
0.748,0.778,0.0685,0.607,0,0.147
0.672,0.855,0.0397,0.646,1,0.021
0.871,0.654,0.15,0.805,0,0.27
0.732,0.807,0.116,0.724,0,0.445
0.748,0.764,0.0615,0.754,0,0.19
0.825,0.593,0.0988,0.54,0,0.688
0.882,0.706,0.177,0.529,1,0.00985
0.816,0.72,0.0684,0.78,1,0.206
0.885,0.68,0.0848,0.78,0,0.131
0.737,0.832,0.0798,0.865,0,0.12
0.713,0.79,0.146,0.702,0,0.0502
0.685,0.848,0.0858,0.761,0,0.0861
0.809,0.624,0.155,0.629,0,0.41
0.789,0.809,0.0615,0.411,1,0.374
0.637,0.785,0.166,0.74,1,0.0846
0.679,0.857,0.0783,0.855,1,0.086
0.673,0.752,0.0567,0.699,0,0.214
0.735,0.787,0.16,0.455,0,0.667
0.771,0.769,0.0694,0.931,0,0.18
0.849,0.709,0.0794,0.916,0,0.229
0.643,0.769,0.0877,0.532,1,0.0858
0.894,0.635,0.0473,0.428,1,0.193
0.747,0.693,0.298,0.736,0,0.102
0.624,0.888,0.099,0.824,1,0.238
