position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
1,Pana Miguel,Keyan JRN,0.491,0.785,0.113,0.42,1,0.447,82.476,166702,-4.569,5,https://open.spotify.com/track/2ENImmNNYBBybf1N431WfO
2,La Jeepeta - Remix,Nio Garcia,0.815,0.715,0.207,0.786,0,0.3,176.007,345241,-4.65,4,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
3,Tak Tiki Tak,Harry Nach,0.802,0.579,0.0869,0.234,0,0.335,99.992,212406,-4.78,11,https://open.spotify.com/track/0aCTSZQTlmnjQucALTF00s
4,Hola- Nena (feat. Omar Montes),Nyno Vargas,0.749,0.772,0.243,0.718,0,0.469,179.896,190765,-2.976,8,https://open.spotify.com/track/2EAwcFW9NeuhnZ0q5aYhFL
5,de amor nadie se muere - Freestyle,Luenco,0.741,0.596,0.0388,0.329,1,0.799,97.03,171128,-14.102,11,https://open.spotify.com/track/4jfl3XFJ4UwXbmbewW8BV7
6,La Safaera (Megamix),Ernesto Bianchi,0.847,0.849,0.112,0.787,1,0.101,97.991,618427,-2.498,9,https://open.spotify.com/track/5I7cUbPlv4nVpusiWijV6y
7,PAM,Justin Quiles,0.889,0.863,0.0757,0.776,1,0.289,112.953,201000,-3.011,11,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
8,Stereotypes,Black Violin,0.338,0.58,0.0573,0.262,0,0.506,157.801,209667,-8.703,2,https://open.spotify.com/track/0Rn7Zvj1OIN9DsfxtCdYPh
9,Nunca Estoy,C. Tangana,0.917,0.377,0.161,0.398,1,0.474,134.994,162222,-5.132,2,https://open.spotify.com/track/6f4LYJwICqxoAILj82kwB0
10,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,0,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
11,This Is America,Childish Gambino,0.854,0.463,0.137,0.549,1,0.117,120.024,225773,-6.159,5,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
12,Niña Bonita - Acústico,Dstance,0.75,0.214,0.037,0.448,1,0.901,118.075,293376,-10.173,9,https://open.spotify.com/track/6yb8ktQyg2mH4fOUeIYkd5
13,La Popi,Kiko el Crazy,0.881,0.952,0.0603,0.549,1,0.147,114.996,195617,0.796,7,https://open.spotify.com/track/2WlmR4N8xSxDG3Adz8Wd2k
14,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,6,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
15,ROCKSTAR (feat. Roddy Ricch),DaBaby,0.746,0.69,0.164,0.497,1,0.247,89.977,181733,-7.956,11,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,4,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
17,Mil Tequilas,Chema Rivas,0.698,0.772,0.133,0.284,1,0.224,100.103,255450,-3.936,1,https://open.spotify.com/track/0qvfIq8RsH3sOZk9JIuUhn
18,Might Not Be OK (feat. Big K.R.I.T.),Kenneth Whalum,0.487,0.461,0.0394,0.138,0,0.906,79.32,200851,-7.313,8,https://open.spotify.com/track/3w4YszQwxhG5q1iYf4DMpR
19,Me Vale,Miki Núñez,0.525,0.782,0.0619,0.738,1,0.00145,159.926,195538,-4.158,9,https://open.spotify.com/track/2ptZxf0K480OMZbODKZhVC
20,Let Love Lead,Terrian,0.356,0.462,0.0337,0.189,0,0.307,73.889,235185,-8.317,1,https://open.spotify.com/track/6ezWbOb22Pih3yFT0DTyUD
21,MY POWER,Nija,0.773,0.86,0.13,0.715,1,0.0159,126.967,259742,-4.966,7,https://open.spotify.com/track/7ia5l12mCvbQTeAnG1oYpg
22,PA' ROMPERLA,Bad Bunny,0.772,0.83,0.0599,0.697,1,0.016,94.011,194200,-5.019,7,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
23,Sola & Vacía,Casper Magico,0.712,0.851,0.149,0.542,1,0.207,95.973,182676,-3.359,0,https://open.spotify.com/track/46V4kseB66GjFGklCgynGX
24,CÓMO SE SIENTE - Remix,Jhay Cortez,0.807,0.606,0.088,0.304,0,0.0946,92.988,227520,-8.871,3,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
25,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,11,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
26,Favorito,Camilo,0.606,0.853,0.0545,0.822,1,0.237,178.043,209766,-2.975,9,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
27,U Will Know - Extended Version,B.M.U. (Black Men United),0.719,0.551,0.0914,0.614,1,0.0279,96.159,265640,-11.841,7,https://open.spotify.com/track/5bM3IhiYoYSK9VjAux2px8
28,Stay Homa,Stay Homas,0.835,0.614,0.331,0.962,1,0.597,79.92,136573,-6.927,9,https://open.spotify.com/track/3GbyRmZVxkVpCGMs8qcqXz
29,Address It,LPB Poody,0.903,0.611,0.268,0.329,0,0.109,94.525,146688,-8.006,10,https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
